date,rebar_price,iron_ore_price_x,coal_price_x,steel_price_x,steel_rebar_price,iron_ore_price_y,coal_price_y,steel_scrap_price,coking_coal_price,iron_ore_price,steel_price_y,platts_mexican_rebar_price,reportacero_prices_price,mexican_construction_index_price,geopolitical_risk_index,trade_tension_index,supply_chain_disruption,energy_security_index
2023-01-01,591.2637969288292,76.50551877153167,114.75827815729751,653.0110375430634,732.4178538252809,127.45071229516849,189.93428306022466,464.901424590337,182.2839608573656,98.92747553585349,734.4984657501949,18745.07122951685,18096.05698361348,104.96714153011233,54.96714153011233,22.173017779079743,0,78.74421756660298
2023-01-02,593.5697763562094,77.42791054248379,116.14186581372567,654.8558210849676,732.4178538252809,127.45071229516849,189.93428306022466,464.901424590337,183.19711185754144,99.49819491096339,735.2974728753487,18745.07122951685,18096.05698361348,104.96714153011233,48.61735698828815,33.26602204571577,0,64.14163603321303
2023-01-03,595.8757557835897,78.35030231343589,117.52545347015385,656.7006046268718,716.5433924707204,117.92603548243223,177.2347139765763,445.8520709648645,184.11026285771732,100.06891428607331,736.0964800005027,18745.07122951685,18096.05698361348,104.96714153011233,56.47688538100692,16.379331166097277,0,82.3290584240653
2023-01-04,598.18173521097,79.27269408438801,118.90904112658203,658.5453881687761,736.1922134525173,129.71532807151038,192.95377076201385,469.43065614302077,185.02341385789316,100.63963366118323,736.8954871256565,18745.07122951685,18096.05698361348,104.96714153011233,65.23029856408026,38.23324509860515,1,62.03535547624345
2023-01-05,600.4877146383503,80.19508585534012,120.2926287830102,660.3901717106803,758.0757464102006,142.84544784612038,210.46059712816052,495.69089569224076,185.93656485806903,101.21035303629313,737.6944942508104,18745.07122951685,18096.05698361348,104.96714153011233,47.658466252766644,33.780779859304346,0,68.08486525810005
2023-01-06,602.7936940657306,81.11747762629224,121.67621643943836,662.2349552525845,714.1461656319166,116.48769937914996,175.3169325055333,442.97539875829995,186.84971585824488,101.78107241140304,738.4935013759642,18745.07122951685,18096.05698361348,104.96714153011233,47.6586304305082,32.048237874511,0,81.33965998466478
2023-01-07,605.0996734931109,82.03986939724436,123.05980409586654,664.0797387944888,714.1461656319166,116.48769937914996,175.3169325055333,442.97539875829995,187.76286685842075,102.35179178651296,739.2925085011182,18745.07122951685,18096.05698361348,104.96714153011233,65.79212815507391,37.861527871564114,0,67.28486954591499
2023-01-08,607.4056529204911,82.96226116819646,124.44339175229472,665.9245223363929,714.1461656319166,116.48769937914996,175.3169325055333,442.97539875829995,188.6760178585966,102.92251116162286,740.091515626272,18745.07122951685,18096.05698361348,104.96714153011233,57.67434729152909,43.32379555570061,0,79.07263986494375
2023-01-09,609.7116323478714,83.88465293914858,125.82697940872288,667.7693058782971,714.1465760762704,116.4879456457623,175.3172608610164,442.9758912915246,189.58916885877247,103.49323053673278,740.8905227514259,18745.07122951685,18096.05698361348,104.96714153011233,45.30525614065048,38.11496052014505,0,69.21342871862794
2023-01-10,612.0176117752517,84.8070447101007,127.21056706515105,669.6140894202014,759.4803203876847,143.68819223261087,211.58425631014782,497.37638446522175,190.5023198589483,104.0639499118427,741.6895298765797,18745.07122951685,18096.05698361348,104.96714153011233,55.42560043585965,15.273006149346838,0,93.78030167680035
2023-01-11,614.323591202632,85.72943648105282,128.59415472157923,671.4588729621056,739.1858682288228,131.51152093729362,195.34869458305818,473.02304187458725,191.41547085912418,104.6346692869526,742.4885370017337,18745.07122951685,18096.05698361348,104.96714153011233,45.365823071875376,19.763384266114386,0,88.82534324923418
2023-01-12,616.6295706300123,86.65182825200493,129.9777423780074,673.3036565040098,708.2631403516262,112.95788421097572,170.61051228130097,435.91576842195144,192.32862185930003,105.20538866206252,743.2875441268875,18745.07122951685,18096.05698361348,104.96714153011233,45.34270246429743,25.00145137843457,0,54.062844850795024
2023-01-13,618.9355500573926,87.57422002295704,131.36133003443558,675.1484400459141,733.5640010896491,128.13840065378946,190.8512008717193,466.2768013075789,193.2417728594759,105.77610803717243,744.0865512520414,18745.07122951685,18096.05698361348,104.96714153011233,52.41962271566034,30.20872840168667,0,76.26692417497611
2023-01-14,621.2415294847729,88.49661179390915,132.74491769086373,676.9932235878183,733.5640010896491,128.13840065378946,190.8512008717193,466.2768013075789,194.15492385965175,106.34682741228235,744.8855583771953,18745.07122951685,18096.05698361348,104.96714153011233,30.86719755342202,34.14127216375299,0,60.2031521667875
2023-01-15,623.5475089121531,89.41900356486127,134.1285053472919,678.8380071297225,733.5640010896491,128.13840065378946,190.8512008717193,466.2768013075789,195.06807485982762,106.91754678739225,745.6845655023492,18745.07122951685,18096.05698361348,104.96714153011233,32.75082167486967,24.194049494772276,0,72.29808326551277
