date,quandl_gold_prices_price,quandl_silver_prices_price,usgs_iron_ore_price,usgs_steel_price,usgs_coal_price,usgs_copper_price,usgs_aluminum_price,inegi_construction_index_value,inegi_industrial_production_value,inegi_manufacturing_index_value,inegi_employment_index_value
2020-01-01,1946.2886065703547,23.146718151941464,,,,,,,,,
2020-01-02,1640.1950486892817,25.39287772020187,,,,,,,,,
2020-01-03,1745.395132286794,24.100429894511556,,,,,,,,,
2020-01-04,1594.1880206210665,25.446790645700563,,,,,,,,,
2020-01-05,1690.402662095744,29.012342997109734,,,,,,,,,
2020-01-06,1885.0454080175573,28.085623481254228,,,,,,,,,
2020-01-07,1948.674083901432,24.820068105577995,,,,,,,,,
2020-01-08,1681.5944086142865,25.950599852574275,,,,,,,,,
2020-01-09,1921.178524983759,24.372484638409357,,,,,,,,,
2020-01-10,1946.1888597355844,30.14557507740834,,,,,,,,,
2020-01-11,1707.0082866467121,25.260478512672815,,,,,,,,,
2020-01-12,1876.0291099031592,19.921334280365066,,,,,,,,,
2020-01-13,1962.465037703654,22.2103439889208,,,,,,,,,
2020-01-14,1810.1435238965569,27.222074229514188,,,,,,,,,
2020-01-15,1921.5478524565408,25.79824079363679,,,,,,,,,
2020-01-16,1662.9594882586339,25.062050968703957,,,,,,,,,
2020-01-17,1648.5006918286072,22.179285433454716,,,,,,,,,
2020-01-18,1780.9952381853518,26.46192196361579,,,,,,,,,
2020-01-19,1763.4281142784655,20.543962797965694,,,,,,,,,
2020-01-20,1685.8686974164218,26.705185322799988,,,,,,,,,
2020-01-21,1816.996386362804,20.865385264647408,,,,,,,,,
2020-01-22,1703.6181105834023,24.35244552601523,,,,,,,,,
2020-01-23,1742.0802390847193,21.943616060291735,,,,,,,,,
2020-01-24,1861.4439889609,28.465122315645527,,,,,,,,,
2020-01-25,1772.980661047827,22.120105543934013,,,,,,,,,
2020-01-26,1806.1916560110008,26.16364224593986,,,,,,,,,
2020-01-27,1901.2980876556649,24.383560622925035,,,,,,,,,
2020-01-28,1803.1660276339417,21.114450059784968,,,,,,,,,
2020-01-29,1938.403161031966,26.7717129513242,,,,,,,,,
2020-01-30,1876.4423024856285,28.61382286845047,,,,,,,,,
2020-01-31,1989.1706809110876,24.275537316812056,109.93428306022466,724.8357076505616,164.90142459033697,4.2483570765056164,2.64901424590337,102.48357076505616,106.49014245903369,103.98685661204493,98.99342830602247
2020-02-01,1649.5067520766206,22.61218488928779,,,,,,,,,
2020-02-02,1823.6848498660495,23.253376600307273,,,,,,,,,
2020-02-03,1908.9039937418145,22.009880181596515,,,,,,,,,
2020-02-04,1710.9949945279645,26.842062219469938,,,,,,,,,
2020-02-05,1693.8427343543306,24.6625020477541,,,,,,,,,
2020-02-06,2004.4129914059374,28.13547191147636,,,,,,,,,
2020-02-07,1785.883063406317,29.15428403967898,,,,,,,,,
2020-02-08,1736.3067560255704,23.799818102230862,,,,,,,,,
2020-02-09,1780.6573838812765,24.578735774861947,,,,,,,,,
2020-02-10,1639.668632513135,23.43373770806786,,,,,,,,,
2020-02-11,1913.885468336503,26.706033872561946,,,,,,,,,
2020-02-12,1909.135941109334,28.31443081017426,,,,,,,,,
2020-02-13,1796.7711548035177,24.85916503430172,,,,,,,,,
2020-02-14,1883.1761948963283,26.943027631640753,,,,,,,,,
2020-02-15,1374.558088321911,26.556118494469168,,,,,,,,,
2020-02-16,1931.4865236604019,22.294815444608368,,,,,,,,,
2020-02-17,1718.013721039652,24.697024948001996,,,,,,,,,
2020-02-18,1908.4930749241473,32.004353126907084,,,,,,,,,
2020-02-19,1945.6581288809277,22.242916427611995,,,,,,,,,
2020-02-20,1637.2579338052312,26.235079216192037,,,,,,,,,
2020-02-21,1665.6349458057043,29.023187619050333,,,,,,,,,
2020-02-22,1717.8837074068304,24.51223934343972,,,,,,,,,
2020-02-23,1862.2775906198488,27.838736533198418,,,,,,,,,
2020-02-24,1825.6012064270221,26.020536089238462,,,,,,,,,
2020-02-25,1732.8020631407824,20.20923692172171,,,,,,,,,
2020-02-26,1946.9329747132754,26.763053784297405,,,,,,,,,
2020-02-27,1800.4288727185233,28.672099123740004,,,,,,,,,
2020-02-28,1869.5842156049237,26.70294235438599,,,,,,,,,
2020-02-29,1928.6542198157767,29.211821983256804,97.2347139765763,693.0867849414408,145.85207096486445,3.930867849414408,2.4585207096486448,99.30867849414408,104.58520709648644,101.44694279531527,97.72347139765763
2020-03-01,1731.0077970058824,26.11662220582202,,,,,,,,,
2020-03-02,1839.2549869387203,26.620771753439445,,,,,,,,,
2020-03-03,1877.409076775812,29.183338558590815,,,,,,,,,
2020-03-04,1746.2431596248973,25.223413544647478,,,,,,,,,
2020-03-05,1885.1619073026402,24.232228163515195,,,,,,,,,
2020-03-06,1763.8350460262432,25.91270166614244,,,,,,,,,
2020-03-07,1977.5131964897068,22.533926803025683,,,,,,,,,
2020-03-08,1776.2337829829958,23.356858026126893,,,,,,,,,
2020-03-09,1751.0294768338763,27.352945444200273,,,,,,,,,
2020-03-10,1719.018031324511,23.174970924399812,,,,,,,,,
2020-03-11,1681.8801831526328,25.56051232461482,,,,,,,,,
2020-03-12,1781.8353909610946,27.356362637317826,,,,,,,,,
2020-03-13,1839.280785476672,25.15277970773816,,,,,,,,,
2020-03-14,1662.8023088526709,25.387550556984294,,,,,,,,,
2020-03-15,1951.3998968941157,26.642508430136264,,,,,,,,,
2020-03-16,1763.4654863307128,26.61644563647466,,,,,,,,,
2020-03-17,1881.3554856296382,27.02652730701593,,,,,,,,,
2020-03-18,1688.1092002970126,25.306974986918714,,,,,,,,,
2020-03-19,1829.989926549566,29.165179813312456,,,,,,,,,
2020-03-20,1797.315424080459,24.285677796526883,,,,,,,,,
2020-03-21,1820.2468686909272,21.682515035203956,,,,,,,,,
2020-03-22,1661.7728124556816,31.26175607343619,,,,,,,,,
2020-03-23,1940.3058013780865,30.4640310230098,,,,,,,,,
2020-03-24,1840.6012079390919,29.316239164840844,,,,,,,,,
2020-03-25,1741.641293025795,25.716447281905864,,,,,,,,,
2020-03-26,1946.4850865525052,24.75476685194102,,,,,,,,,
2020-03-27,1910.774288155328,22.699211061825014,,,,,,,,,
2020-03-28,1773.9842601176783,29.115672541654863,,,,,,,,,
2020-03-29,1801.6890460713498,22.527819770770382,,,,,,,,,
2020-03-30,1779.0307545297421,27.982270048899732,,,,,,,,,
2020-03-31,1951.6171782366184,26.242033261444654,112.95377076201385,732.3844269050346,169.43065614302077,4.323844269050346,2.6943065614302077,103.23844269050346,106.94306561430207,104.59075415240277,99.29537707620139
2020-04-01,1687.7139280770193,25.59449048723383,,,,,,,,,
2020-04-02,1768.0547654519921,19.345568820995176,,,,,,,,,
2020-04-03,1593.3557756663054,29.536385342589696,,,,,,,,,
2020-04-04,1937.1085701569657,22.968123182925886,,,,,,,,,
2020-04-05,1761.9073274352863,24.87482208830267,,,,,,,,,
2020-04-06,1675.586374288129,25.85109604278156,,,,,,,,,
2020-04-07,1769.6341467825348,29.788935447649088,,,,,,,,,
2020-04-08,1658.1625621755643,27.074787591094108,,,,,,,,,
2020-04-09,1912.5749955044248,22.74143540504751,,,,,,,,,
2020-04-10,1921.1800866793478,25.0580370419671,,,,,,,,,
2020-04-11,1804.3269284813416,24.495018665714724,,,,,,,,,
2020-04-12,1867.7005680012257,21.553089502805157,,,,,,,,,
2020-04-13,1668.5508470841091,27.45080758889131,,,,,,,,,
2020-04-14,1672.8264625927318,25.505027713689977,,,,,,,,,
2020-04-15,1764.4684172247396,29.74556788566904,,,,,,,,,
2020-04-16,1940.7260483139044,21.022637795228704,,,,,,,,,
2020-04-17,1810.6979219636576,24.95050443660072,,,,,,,,,
2020-04-18,1643.7965643940358,28.57603898367314,,,,,,,,,
2020-04-19,1821.1079589931132,21.25116173026861,,,,,,,,,
2020-04-20,1758.45032026364,24.79032749033014,,,,,,,,,
2020-04-21,1791.3502626457907,19.249703285695134,,,,,,,,,
2020-04-22,1660.000418122552,24.892305037529916,,,,,,,,,
2020-04-23,1758.0117012274247,22.145128416314193,,,,,,,,,
2020-04-24,1766.4889183476105,25.88914403650164,,,,,,,,,
2020-04-25,1709.3521375554287,28.256375294903904,,,,,,,,,
2020-04-26,1812.951122014237,25.837393892419055,,,,,,,,,
2020-04-27,1655.8141618101686,30.179983428735163,,,,,,,,,
2020-04-28,1735.222858413402,25.187018090747756,,,,,,,,,
2020-04-29,2030.7679746879394,26.181980009892037,,,,,,,,,
2020-04-30,1766.6311835404965,29.06531489367412,130.46059712816052,776.1514928204012,195.69089569224076,4.761514928204012,2.9569089569224074,107.61514928204012,109.56908956922408,108.0921194256321,101.04605971281605
2020-05-01,1859.9077074991442,24.750900983483874,,,,,,,,,
2020-05-02,1673.182666894766,25.599479317641006,,,,,,,,,
2020-05-03,1708.1832735253786,24.9525621102801,,,,,,,,,
2020-05-04,1861.54426666748,29.90547904903611,,,,,,,,,
2020-05-05,1828.4320836742359,24.527755499474125,,,,,,,,,
2020-05-06,1752.1088371886235,29.381718449370116,,,,,,,,,
2020-05-07,1890.547286369179,26.474966580635257,,,,,,,,,
2020-05-08,1672.9619512852473,21.584676732095588,,,,,,,,,
2020-05-09,1817.6218148127175,25.346763024467887,,,,,,,,,
2020-05-10,1981.4006920596075,22.484702041518577,,,,,,,,,
2020-05-11,1642.9004445974902,23.291393906130928,,,,,,,,,
2020-05-12,1725.1476810910453,26.43414222661786,,,,,,,,,
2020-05-13,1779.0647518259716,30.195982201161517,,,,,,,,,
2020-05-14,1822.6552646630876,23.74149925753207,,,,,,,,,
2020-05-15,1848.6914206010747,25.482410232652303,,,,,,,,,
2020-05-16,1788.7279309204648,26.28337478945069,,,,,,,,,
2020-05-17,1639.774087216012,24.18381979986939,,,,,,,,,
2020-05-18,1739.2976515975672,25.523507958647425,,,,,,,,,
2020-05-19,1944.1841141028283,27.902437258183788,,,,,,,,,
2020-05-20,1834.6382871781175,23.895150464264386,,,,,,,,,
2020-05-21,1895.9799545351466,28.492270084473553,,,,,,,,,
2020-05-22,1835.8680282053617,25.014369940007047,,,,,,,,,
2020-05-23,1673.115615930504,23.920864655544218,,,,,,,,,
2020-05-24,1820.470155513509,25.526328045417355,,,,,,,,,
2020-05-25,1686.2302489598017,27.05901357208522,,,,,,,,,
2020-05-26,1922.540777347726,21.667927583094535,,,,,,,,,
2020-05-27,1757.7648508359102,25.411671469733324,,,,,,,,,
2020-05-28,1793.5311604099227,26.237126607781676,,,,,,,,,
2020-05-29,1738.2291799087438,25.57559384461956,,,,,,,,,
2020-05-30,1700.9847316840546,21.03605494659571,,,,,,,,,
2020-05-31,1825.8062761825167,30.020803392144792,95.31693250553329,688.2923312638331,142.97539875829992,3.882923312638332,2.429753987582999,98.82923312638331,104.29753987583,101.06338650110666,97.53169325055333
2020-06-01,1715.4237199728507,23.570135429583374,,,,,,,,,
2020-06-02,1899.2106103128388,24.448362726616498,,,,,,,,,
2020-06-03,1857.034960618197,22.629521133290556,,,,,,,,,
2020-06-04,1979.4215399574593,22.243287630283866,,,,,,,,,
2020-06-05,1825.4588012138079,25.079916519963508,,,,,,,,,
